person,event,roleWithinEvent
per.004375,oscys.caseid.0647,attorney
per.006566,oscys.caseid.0647,""
per.004601,oscys.caseid.0647,""
per.006466,oscys.caseid.0647,""
per.006431,oscys.caseid.0647,""
per.006312,oscys.caseid.0647,""
per.006402,oscys.caseid.0647,""
per.006435,oscys.caseid.0647,""
per.006561,oscys.caseid.0647,""
per.006433,oscys.caseid.0647,""
per.006562,oscys.caseid.0647,""
per.006559,oscys.caseid.0647,""
per.006467,oscys.caseid.0647,""
per.006413,oscys.caseid.0647,""
per.006564,oscys.caseid.0647,""
per.006315,oscys.caseid.0647,""
per.006557,oscys.caseid.0647,""
per.006552,oscys.caseid.0647,""
per.006558,oscys.caseid.0647,""
per.002096,oscys.caseid.0647,""
per.001493,oscys.caseid.0647,""
per.002097,oscys.caseid.0647,""
per.006567,oscys.caseid.0647,""
per.006563,oscys.caseid.0647,""
per.006570,oscys.caseid.0647,""
per.006560,oscys.caseid.0647,""
per.006553,oscys.caseid.0647,""
per.006565,oscys.caseid.0647,""
per.006432,oscys.caseid.0647,""
per.001477,oscys.caseid.0647,""
per.006436,oscys.caseid.0647,""
per.006468,oscys.caseid.0647,""
per.006465,oscys.caseid.0647,""
per.001251,oscys.caseid.0173,plaintiff
per.001252,oscys.caseid.0173,defendant
per.000496,oscys.caseid.0173,attorney
per.000751,oscys.caseid.0173,attorney
per.000003,oscys.caseid.0173,""
per.000004,oscys.caseid.0173,""
per.000739,oscys.caseid.0173,""
per.006812,oscys.caseid.0661,plaintiff
per.006814,oscys.caseid.0661,defendant
per.006831,oscys.caseid.0661,""
per.001493,oscys.caseid.0661,""
per.006832,oscys.caseid.0661,""
per.001342,oscys.caseid.0181,plaintiff
per.001343,oscys.caseid.0181,defendant
per.000873,oscys.caseid.0181,attorney
per.000003,oscys.caseid.0181,""
per.001155,oscys.caseid.0181,""
per.001347,oscys.caseid.0181,""
per.001344,oscys.caseid.0181,""
per.001348,oscys.caseid.0181,""
per.001352,oscys.caseid.0181,""
per.001346,oscys.caseid.0181,""
per.001345,oscys.caseid.0181,""
per.001355,oscys.caseid.0181,""
per.001349,oscys.caseid.0181,""
per.001350,oscys.caseid.0181,""
per.001351,oscys.caseid.0181,""
per.001353,oscys.caseid.0181,""
per.000721,oscys.caseid.0181,""
per.001356,oscys.caseid.0181,""
per.001357,oscys.caseid.0181,""
per.001358,oscys.caseid.0181,""
per.001359,oscys.caseid.0181,""
per.001360,oscys.caseid.0181,""
per.001361,oscys.caseid.0181,""
per.001362,oscys.caseid.0181,""
per.001363,oscys.caseid.0181,""
per.001364,oscys.caseid.0181,""
per.001365,oscys.caseid.0181,""
per.001366,oscys.caseid.0181,attorney
per.001367,oscys.caseid.0181,attorney
per.000004,oscys.caseid.0181,""
per.000739,oscys.caseid.0181,""
per.003693,oscys.caseid.0181,""
per.003636,oscys.caseid.0181,""
per.000513,oscys.caseid.0181,""
per.003694,oscys.caseid.0181,""
per.003673,oscys.caseid.0181,""
per.003632,oscys.caseid.0181,""
per.004354,oscys.caseid.0181,""
per.001885,oscys.caseid.0346,plaintiff
per.001886,oscys.caseid.0346,defendant
per.001881,oscys.caseid.0346,""
per.001882,oscys.caseid.0346,""
per.001883,oscys.caseid.0346,""
per.000464,oscys.caseid.0346,""
per.001884,oscys.caseid.0346,""
per.000460,oscys.caseid.0346,attorney
per.000003,oscys.caseid.0346,""
per.000004,oscys.caseid.0346,""
per.000461,oscys.caseid.0346,""
per.001887,oscys.caseid.0346,""
per.001888,oscys.caseid.0346,""
per.001889,oscys.caseid.0346,""
per.001890,oscys.caseid.0346,""
per.000117,oscys.caseid.0013,plaintiff
per.000118,oscys.caseid.0013,plaintiff
per.000119,oscys.caseid.0013,plaintiff
per.000120,oscys.caseid.0013,plaintiff
per.000121,oscys.caseid.0013,defendant
per.000122,oscys.caseid.0013,attorney
per.002222,oscys.caseid.0292,plaintiff
per.000278,oscys.caseid.0292,defendant
per.000003,oscys.caseid.0292,""
per.000004,oscys.caseid.0292,""
per.002223,oscys.caseid.0292,""
per.002224,oscys.caseid.0292,""
per.000044,oscys.caseid.0292,""
per.002226,oscys.caseid.0292,""
per.002225,oscys.caseid.0292,""
per.001873,oscys.caseid.0292,""
per.000014,oscys.caseid.0292,""
per.002227,oscys.caseid.0292,""
per.002219,oscys.caseid.0292,attorney
per.000006,oscys.caseid.0292,""
per.002232,oscys.caseid.0292,""
per.002220,oscys.caseid.0292,""
per.002594,oscys.caseid.0352,plaintiff
per.002595,oscys.caseid.0352,defendant
per.002596,oscys.caseid.0352,defendant
per.000476,oscys.caseid.0352,""
per.001217,oscys.caseid.0352,""
per.000740,oscys.caseid.0352,""
per.000733,oscys.caseid.0096,plaintiff
per.000734,oscys.caseid.0096,defendant
per.001183,oscys.caseid.0096,attorney
per.000003,oscys.caseid.0096,""
per.000732,oscys.caseid.0096,""
per.000004,oscys.caseid.0096,""
per.000461,oscys.caseid.0096,""
per.006596,oscys.caseid.0631,plaintiff
per.006597,oscys.caseid.0631,defendant
per.001393,oscys.caseid.0631,attorney
per.001495,oscys.caseid.0631,attorney
per.006599,oscys.caseid.0631,""
per.006440,oscys.caseid.0631,""
per.006312,oscys.caseid.0631,""
per.006383,oscys.caseid.0631,""
per.006601,oscys.caseid.0631,""
per.006593,oscys.caseid.0631,""
per.006398,oscys.caseid.0631,""
per.006603,oscys.caseid.0631,""
per.006598,oscys.caseid.0631,""
per.006594,oscys.caseid.0631,""
per.002096,oscys.caseid.0631,""
per.001493,oscys.caseid.0631,""
per.006602,oscys.caseid.0631,""
per.002097,oscys.caseid.0631,""
per.006600,oscys.caseid.0631,""
per.001477,oscys.caseid.0631,""
per.006639,oscys.caseid.0631,""
per.006441,oscys.caseid.0631,""
per.002145,oscys.caseid.0270,plaintiff
per.002136,oscys.caseid.0270,defendant
per.002137,oscys.caseid.0270,defendant
per.002138,oscys.caseid.0270,defendant
per.002139,oscys.caseid.0270,attorney
per.000859,oscys.caseid.0112,plaintiff
per.000860,oscys.caseid.0112,defendant
per.000001,oscys.caseid.0112,attorney
per.000003,oscys.caseid.0112,""
per.000004,oscys.caseid.0112,""
per.000739,oscys.caseid.0112,""
per.006711,oscys.caseid.0543,plaintiff
per.006712,oscys.caseid.0543,defendant
per.006715,oscys.caseid.0543,""
per.006716,oscys.caseid.0543,""
per.006717,oscys.caseid.0543,""
per.002102,oscys.caseid.0543,""
per.001514,oscys.caseid.0543,""
per.001393,oscys.caseid.0543,attorney
per.004360,oscys.caseid.0543,attorney
per.001496,oscys.caseid.0543,attorney
per.004664,oscys.caseid.0543,attorney
per.006718,oscys.caseid.0543,""
per.006719,oscys.caseid.0543,""
per.006720,oscys.caseid.0543,""
per.006721,oscys.caseid.0543,""
per.006722,oscys.caseid.0543,""
per.006723,oscys.caseid.0543,""
per.006713,oscys.caseid.0543,""
per.006724,oscys.caseid.0543,""
per.006862,oscys.caseid.0543,""
per.006725,oscys.caseid.0543,""
per.006726,oscys.caseid.0543,""
per.006727,oscys.caseid.0543,""
per.006728,oscys.caseid.0543,""
per.006729,oscys.caseid.0543,""
per.006730,oscys.caseid.0543,""
per.002083,oscys.caseid.0543,""
per.006731,oscys.caseid.0543,""
per.006732,oscys.caseid.0543,""
per.006733,oscys.caseid.0543,""
per.006734,oscys.caseid.0543,""
per.006735,oscys.caseid.0543,""
per.006736,oscys.caseid.0543,""
per.006737,oscys.caseid.0543,""
per.004601,oscys.caseid.0543,""
per.006738,oscys.caseid.0543,""
per.005412,oscys.caseid.0543,""
per.006739,oscys.caseid.0543,""
per.006740,oscys.caseid.0543,""
per.006741,oscys.caseid.0543,""
per.006742,oscys.caseid.0543,""
per.006743,oscys.caseid.0543,""
per.006744,oscys.caseid.0543,""
per.006745,oscys.caseid.0543,""
per.006746,oscys.caseid.0543,""
per.006747,oscys.caseid.0543,""
per.006748,oscys.caseid.0543,""
per.006749,oscys.caseid.0543,""
per.006750,oscys.caseid.0543,""
per.006751,oscys.caseid.0543,""
per.006752,oscys.caseid.0543,""
per.001493,oscys.caseid.0543,""
per.006753,oscys.caseid.0543,""
per.006754,oscys.caseid.0543,""
per.006755,oscys.caseid.0543,""
per.005410,oscys.caseid.0543,""
per.006756,oscys.caseid.0543,""
per.006757,oscys.caseid.0543,""
per.006758,oscys.caseid.0543,""
per.005385,oscys.caseid.0543,""
per.001491,oscys.caseid.0543,""
per.006759,oscys.caseid.0543,""
per.006760,oscys.caseid.0543,""
per.006761,oscys.caseid.0543,""
per.006762,oscys.caseid.0543,""
per.006763,oscys.caseid.0543,""
per.006764,oscys.caseid.0543,""
per.006765,oscys.caseid.0543,""
per.006766,oscys.caseid.0543,""
per.006767,oscys.caseid.0543,""
per.006768,oscys.caseid.0543,""
per.006769,oscys.caseid.0543,""
per.006770,oscys.caseid.0543,""
per.006771,oscys.caseid.0543,""
per.006772,oscys.caseid.0543,""
per.001477,oscys.caseid.0543,""
per.001483,oscys.caseid.0543,""
per.006774,oscys.caseid.0543,""
per.006775,oscys.caseid.0543,""
per.006776,oscys.caseid.0543,""
per.006777,oscys.caseid.0543,""
per.006778,oscys.caseid.0543,""
per.006779,oscys.caseid.0543,""
per.006780,oscys.caseid.0543,""
per.006781,oscys.caseid.0543,""
per.006782,oscys.caseid.0543,""
per.006783,oscys.caseid.0543,""
per.006784,oscys.caseid.0543,""
per.006785,oscys.caseid.0543,""
per.006472,oscys.caseid.0543,""
per.005401,oscys.caseid.0543,""
per.006786,oscys.caseid.0543,""
per.006787,oscys.caseid.0543,""
per.006788,oscys.caseid.0543,""
per.006789,oscys.caseid.0543,""
per.006790,oscys.caseid.0543,""
per.006791,oscys.caseid.0543,""
per.006792,oscys.caseid.0543,""
per.006793,oscys.caseid.0543,""
per.006794,oscys.caseid.0543,""
per.006795,oscys.caseid.0543,""
per.006796,oscys.caseid.0543,""
per.006797,oscys.caseid.0543,""
per.006798,oscys.caseid.0543,""
per.006799,oscys.caseid.0543,""
per.006800,oscys.caseid.0543,""
 per.005413,oscys.caseid.0543,""
per.006801,oscys.caseid.0543,""
per.006802,oscys.caseid.0543,""
per.001614,oscys.caseid.0195,plaintiff
per.001615,oscys.caseid.0195,defendant
per.001616,oscys.caseid.0195,defendant
per.000738,oscys.caseid.0195,attorney
per.000502,oscys.caseid.0195,""
per.000003,oscys.caseid.0195,""
per.000004,oscys.caseid.0195,""
per.000549,oscys.caseid.0195,attorney
per.001617,oscys.caseid.0195,""
per.001618,oscys.caseid.0195,""
per.001619,oscys.caseid.0195,""
per.001620,oscys.caseid.0195,""
per.001621,oscys.caseid.0195,""
per.001622,oscys.caseid.0195,""
per.001623,oscys.caseid.0195,""
per.001624,oscys.caseid.0195,""
per.001625,oscys.caseid.0195,""
per.001626,oscys.caseid.0195,""
per.001627,oscys.caseid.0195,""
per.001628,oscys.caseid.0195,""
per.000064,oscys.caseid.0195,""
per.002550,oscys.caseid.0195,attorney
per.004267,oscys.caseid.0195,""
per.000451,oscys.caseid.0044,plaintiff
per.000453,oscys.caseid.0044,defendant
per.000460,oscys.caseid.0044,attorney
per.000003,oscys.caseid.0044,""
per.000455,oscys.caseid.0044,""
per.000004,oscys.caseid.0044,""
per.000461,oscys.caseid.0044,""
per.004881,oscys.caseid.0499,plaintiff
per.004374,oscys.caseid.0499,""
per.001004,oscys.caseid.0130,plaintiff
per.001005,oscys.caseid.0130,plaintiff
per.001006,oscys.caseid.0130,plaintiff
per.001007,oscys.caseid.0130,plaintiff
per.001008,oscys.caseid.0130,defendant
per.001002,oscys.caseid.0130,attorney
per.000003,oscys.caseid.0130,""
per.000004,oscys.caseid.0130,""
per.001013,oscys.caseid.0130,attorney
per.001009,oscys.caseid.0130,""
per.000984,oscys.caseid.0130,""
per.001011,oscys.caseid.0130,""
per.001012,oscys.caseid.0130,""
per.006420,oscys.caseid.0586,plaintiff
per.006421,oscys.caseid.0586,defendant
per.001393,oscys.caseid.0586,attorney
per.001495,oscys.caseid.0586,attorney
per.006323,oscys.caseid.0586,""
per.006398,oscys.caseid.0586,""
per.006439,oscys.caseid.0586,""
per.006422,oscys.caseid.0586,""
per.005302,oscys.caseid.0586,""
per.001493,oscys.caseid.0586,""
per.005383,oscys.caseid.0586,""
per.006423,oscys.caseid.0586,""
per.001477,oscys.caseid.0586,""
per.002915,oscys.caseid.0396,plaintiff
per.002916,oscys.caseid.0396,defendant
per.001562,oscys.caseid.0396,attorney
per.001547,oscys.caseid.0396,""
per.002914,oscys.caseid.0396,""
per.000435,oscys.caseid.0396,attorney
per.001523,oscys.caseid.0396,""
per.001531,oscys.caseid.0396,""
per.002918,oscys.caseid.0396,""
per.000194,oscys.caseid.0396,""
per.000725,oscys.caseid.0396,""
per.002919,oscys.caseid.0396,""
per.002816,oscys.caseid.0396,""
per.000155,oscys.caseid.0396,""
per.002920,oscys.caseid.0396,""
per.002921,oscys.caseid.0396,""
per.000004,oscys.caseid.0396,""
per.000063,oscys.caseid.0396,""
per.000183,oscys.caseid.0396,""
per.002922,oscys.caseid.0396,""
per.000122,oscys.caseid.0396,attorney
per.002923,oscys.caseid.0396,""
per.002924,oscys.caseid.0396,""
per.002925,oscys.caseid.0396,""
per.002926,oscys.caseid.0396,""
per.002927,oscys.caseid.0396,""
per.002928,oscys.caseid.0396,""
per.000128,oscys.caseid.0396,""
per.002929,oscys.caseid.0396,""
per.001555,oscys.caseid.0396,""
per.002820,oscys.caseid.0396,""
per.002930,oscys.caseid.0396,""
per.002909,oscys.caseid.0396,""
per.002931,oscys.caseid.0396,""
per.002932,oscys.caseid.0396,""
per.002933,oscys.caseid.0396,""
per.002934,oscys.caseid.0396,""
per.002935,oscys.caseid.0396,""
per.001563,oscys.caseid.0396,attorney
per.006446,oscys.caseid.0606,plaintiff
per.006447,oscys.caseid.0606,defendant
per.001393,oscys.caseid.0606,attorney
per.006312,oscys.caseid.0606,""
per.006383,oscys.caseid.0606,""
per.006323,oscys.caseid.0606,""
per.006439,oscys.caseid.0606,""
per.006382,oscys.caseid.0606,""
per.001493,oscys.caseid.0606,""
per.000078,oscys.caseid.0338,plaintiff
per.000215,oscys.caseid.0338,defendant
per.001469,oscys.caseid.0338,""
per.001470,oscys.caseid.0338,""
per.001471,oscys.caseid.0338,""
per.000065,oscys.caseid.0338,""
per.000061,oscys.caseid.0338,""
per.001472,oscys.caseid.0338,""
per.000062,oscys.caseid.0338,""
per.001474,oscys.caseid.0338,""
per.001475,oscys.caseid.0338,""
per.000068,oscys.caseid.0338,""
per.001476,oscys.caseid.0338,""
per.001477,oscys.caseid.0338,""
per.000066,oscys.caseid.0338,""
per.001478,oscys.caseid.0338,""
per.000077,oscys.caseid.0338,""
per.000221,oscys.caseid.0338,""
per.001479,oscys.caseid.0338,""
per.001485,oscys.caseid.0338,""
per.001480,oscys.caseid.0338,""
per.001481,oscys.caseid.0338,""
per.001482,oscys.caseid.0338,""
per.001483,oscys.caseid.0338,""
per.001484,oscys.caseid.0338,""
per.001486,oscys.caseid.0338,""
per.001487,oscys.caseid.0338,""
per.000072,oscys.caseid.0338,""
per.001488,oscys.caseid.0338,""
per.001489,oscys.caseid.0338,""
per.001490,oscys.caseid.0338,""
per.000073,oscys.caseid.0338,""
per.000075,oscys.caseid.0338,""
per.001491,oscys.caseid.0338,""
per.001507,oscys.caseid.0338,""
per.000074,oscys.caseid.0338,""
per.001393,oscys.caseid.0338,attorney
per.001495,oscys.caseid.0338,attorney
per.001496,oscys.caseid.0338,attorney
per.001493,oscys.caseid.0338,""
per.001494,oscys.caseid.0338,""
per.000183,oscys.caseid.0338,attorney
per.001517,oscys.caseid.0338,""
per.001518,oscys.caseid.0338,""
per.001519,oscys.caseid.0338,""
per.001520,oscys.caseid.0338,""
per.001521,oscys.caseid.0338,""
per.001522,oscys.caseid.0338,""
per.001523,oscys.caseid.0338,""
per.000219,oscys.caseid.0338,""
per.001505,oscys.caseid.0338,""
per.001524,oscys.caseid.0338,""
per.001525,oscys.caseid.0338,""
per.001526,oscys.caseid.0338,""
per.001527,oscys.caseid.0338,""
per.001528,oscys.caseid.0338,""
per.001529,oscys.caseid.0338,""
per.000128,oscys.caseid.0338,""
per.001530,oscys.caseid.0338,""
per.001531,oscys.caseid.0338,""
per.001532,oscys.caseid.0338,""
per.001497,oscys.caseid.0338,""
per.001498,oscys.caseid.0338,""
per.000216,oscys.caseid.0338,""
per.001499,oscys.caseid.0338,""
per.001514,oscys.caseid.0338,""
per.001500,oscys.caseid.0338,""
per.001501,oscys.caseid.0338,""
per.001502,oscys.caseid.0338,""
per.001503,oscys.caseid.0338,""
per.001504,oscys.caseid.0338,""
per.001506,oscys.caseid.0338,""
per.001508,oscys.caseid.0338,""
per.001509,oscys.caseid.0338,""
per.001510,oscys.caseid.0338,""
per.001511,oscys.caseid.0338,""
per.001512,oscys.caseid.0338,""
per.001513,oscys.caseid.0338,""
per.001515,oscys.caseid.0338,""
per.000646,oscys.caseid.0081,plaintiff
per.000647,oscys.caseid.0081,defendant
per.000476,oscys.caseid.0081,attorney
per.000001,oscys.caseid.0081,attorney
per.000003,oscys.caseid.0081,""
per.000004,oscys.caseid.0081,""
per.000461,oscys.caseid.0081,""
per.000648,oscys.caseid.0081,""
per.000649,oscys.caseid.0081,""
per.000650,oscys.caseid.0081,""
per.000064,oscys.caseid.0081,""
per.000651,oscys.caseid.0081,""
per.006628,oscys.caseid.0625,plaintiff
per.006629,oscys.caseid.0625,defendant
per.004375,oscys.caseid.0625,attorney
per.005285,oscys.caseid.0625,attorney
per.006540,oscys.caseid.0625,""
per.004601,oscys.caseid.0625,""
per.006535,oscys.caseid.0625,""
per.006312,oscys.caseid.0625,""
per.006517,oscys.caseid.0625,""
per.006413,oscys.caseid.0625,""
per.006534,oscys.caseid.0625,""
per.006315,oscys.caseid.0625,""
per.002096,oscys.caseid.0625,""
per.001493,oscys.caseid.0625,""
per.002097,oscys.caseid.0625,""
per.006588,oscys.caseid.0625,""
per.004331,oscys.caseid.0473,plaintiff
per.004332,oscys.caseid.0473,plaintiff
per.004333,oscys.caseid.0473,defendant
per.000617,oscys.caseid.0473,defendant
per.003308,oscys.caseid.0473,attorney
per.002112,oscys.caseid.0473,attorney
per.004334,oscys.caseid.0473,attorney
per.000624,oscys.caseid.0473,""
per.000625,oscys.caseid.0473,""
per.000004,oscys.caseid.0473,""
per.000615,oscys.caseid.0473,""
per.000044,oscys.caseid.0473,""
per.000628,oscys.caseid.0473,""
per.000064,oscys.caseid.0473,""
per.001021,oscys.caseid.0133,plaintiff
per.001022,oscys.caseid.0133,defendant
per.001023,oscys.caseid.0133,defendant
per.000873,oscys.caseid.0133,attorney
per.001020,oscys.caseid.0133,""
per.000003,oscys.caseid.0133,""
per.000004,oscys.caseid.0133,""
per.000739,oscys.caseid.0133,""
per.001024,oscys.caseid.0133,""
per.001025,oscys.caseid.0133,""
per.001026,oscys.caseid.0133,""
per.001027,oscys.caseid.0133,""
per.001028,oscys.caseid.0133,""
per.001029,oscys.caseid.0133,""
per.001030,oscys.caseid.0133,""
per.001031,oscys.caseid.0133,""
per.001032,oscys.caseid.0133,""
per.001033,oscys.caseid.0133,""
per.001034,oscys.caseid.0133,""
per.001035,oscys.caseid.0133,""
per.001036,oscys.caseid.0133,""
per.002240,oscys.caseid.0133,""
per.000130,oscys.caseid.0015,plaintiff
per.000131,oscys.caseid.0015,defendant
per.000126,oscys.caseid.0015,""
per.000127,oscys.caseid.0015,""
per.000128,oscys.caseid.0015,""
per.000129,oscys.caseid.0015,""
per.002619,oscys.caseid.0381,plaintiff
per.002620,oscys.caseid.0381,defendant
per.000476,oscys.caseid.0381,attorney
per.000001,oscys.caseid.0381,attorney
per.002617,oscys.caseid.0381,""
per.000003,oscys.caseid.0381,""
per.002618,oscys.caseid.0381,""
per.000004,oscys.caseid.0381,""
per.000461,oscys.caseid.0381,""
per.001183,oscys.caseid.0381,attorney
per.002621,oscys.caseid.0381,""
per.002622,oscys.caseid.0381,""
per.000064,oscys.caseid.0381,""
per.000460,oscys.caseid.0381,attorney
per.001562,oscys.caseid.0381,attorney
per.002530,oscys.caseid.0381,""
per.004003,oscys.caseid.0381,""
per.004011,oscys.caseid.0381,""
per.004004,oscys.caseid.0381,""
per.004038,oscys.caseid.0381,""
per.004005,oscys.caseid.0381,""
per.004039,oscys.caseid.0381,""
per.000490,oscys.caseid.0381,""
per.003991,oscys.caseid.0381,""
per.004040,oscys.caseid.0381,""
per.004041,oscys.caseid.0381,""
per.000661,oscys.caseid.0381,""
per.004008,oscys.caseid.0381,""
per.002733,oscys.caseid.0381,""
per.004042,oscys.caseid.0381,""
per.004043,oscys.caseid.0381,""
per.002385,oscys.caseid.0381,""
per.003767,oscys.caseid.0381,""
per.004044,oscys.caseid.0381,""
per.003778,oscys.caseid.0381,""
per.000044,oscys.caseid.0381,""
per.002357,oscys.caseid.0314,plaintiff
per.002358,oscys.caseid.0314,plaintiff
per.002359,oscys.caseid.0314,defendant
per.000847,oscys.caseid.0314,attorney
per.002360,oscys.caseid.0314,attorney
per.000476,oscys.caseid.0314,""
per.001216,oscys.caseid.0314,""
per.000740,oscys.caseid.0314,""
per.002361,oscys.caseid.0314,""
per.003967,oscys.caseid.0314,""
per.003968,oscys.caseid.0314,""
per.003969,oscys.caseid.0314,""
per.003846,oscys.caseid.0314,""
per.003915,oscys.caseid.0314,""
per.003970,oscys.caseid.0314,""
per.003971,oscys.caseid.0314,""
per.003972,oscys.caseid.0314,""
per.003973,oscys.caseid.0314,""
per.003974,oscys.caseid.0314,""
per.003975,oscys.caseid.0314,""
per.003976,oscys.caseid.0314,""
per.003977,oscys.caseid.0314,""
per.003978,oscys.caseid.0314,""
per.002349,oscys.caseid.0310,plaintiff
per.002350,oscys.caseid.0310,defendant
per.000829,oscys.caseid.0310,attorney
per.002341,oscys.caseid.0310,attorney
per.000476,oscys.caseid.0310,""
per.001216,oscys.caseid.0310,""
per.000740,oscys.caseid.0310,""
per.001928,oscys.caseid.0257,plaintiff
per.001929,oscys.caseid.0257,defendant
per.000847,oscys.caseid.0257,attorney
per.000004,oscys.caseid.0257,""
per.000748,oscys.caseid.0257,""
per.000740,oscys.caseid.0257,""
per.006428,oscys.caseid.0590,plaintiff
per.006425,oscys.caseid.0590,defendant
per.001393,oscys.caseid.0590,attorney
per.006424,oscys.caseid.0590,""
per.006399,oscys.caseid.0590,""
per.006312,oscys.caseid.0590,""
per.001493,oscys.caseid.0590,""
per.002096,oscys.caseid.0590,""
per.002097,oscys.caseid.0590,""
per.003278,oscys.caseid.0439,plaintiff
per.003279,oscys.caseid.0439,defendant
per.003181,oscys.caseid.0439,attorney
per.003277,oscys.caseid.0439,""
per.003280,oscys.caseid.0439,""
per.003281,oscys.caseid.0439,""
per.000004,oscys.caseid.0439,""
per.000122,oscys.caseid.0439,""
per.002625,oscys.caseid.0439,""
per.003282,oscys.caseid.0439,""
per.000502,oscys.caseid.0439,""
per.005323,oscys.caseid.0528,plaintiff
per.005330,oscys.caseid.0528,plaintiff
per.005281,oscys.caseid.0528,defendant
per.001393,oscys.caseid.0528,attorney
per.001495,oscys.caseid.0528,attorney
per.001514,oscys.caseid.0528,""
per.001493,oscys.caseid.0528,""
per.002041,oscys.caseid.0528,""
per.005217,oscys.caseid.0528,""
per.004601,oscys.caseid.0528,""
per.005300,oscys.caseid.0528,""
per.005302,oscys.caseid.0528,""
per.005306,oscys.caseid.0528,""
per.005313,oscys.caseid.0528,""
per.005299,oscys.caseid.0528,""
per.005151,oscys.caseid.0528,""
per.005152,oscys.caseid.0528,""
per.005172,oscys.caseid.0528,""
per.005198,oscys.caseid.0528,""
per.005220,oscys.caseid.0528,""
per.005307,oscys.caseid.0528,""
per.005222,oscys.caseid.0528,""
per.005224,oscys.caseid.0528,""
per.005311,oscys.caseid.0528,""
per.005312,oscys.caseid.0528,""
per.005314,oscys.caseid.0528,""
per.005319,oscys.caseid.0528,""
per.005251,oscys.caseid.0528,""
per.005297,oscys.caseid.0528,""
per.005298,oscys.caseid.0528,""
per.005054,oscys.caseid.0528,""
per.005327,oscys.caseid.0528,""
per.005119,oscys.caseid.0528,""
per.005174,oscys.caseid.0528,""
per.005236,oscys.caseid.0528,""
per.005199,oscys.caseid.0528,""
per.005201,oscys.caseid.0528,""
per.005214,oscys.caseid.0528,""
per.005225,oscys.caseid.0528,""
per.005315,oscys.caseid.0528,""
per.005233,oscys.caseid.0528,""
per.005316,oscys.caseid.0528,""
per.005318,oscys.caseid.0528,""
per.005322,oscys.caseid.0528,""
per.005249,oscys.caseid.0528,""
per.005324,oscys.caseid.0528,""
per.005254,oscys.caseid.0528,""
per.005325,oscys.caseid.0528,""
per.005295,oscys.caseid.0528,""
per.005056,oscys.caseid.0528,""
per.005279,oscys.caseid.0528,""
per.005071,oscys.caseid.0528,""
per.005301,oscys.caseid.0528,""
per.005303,oscys.caseid.0528,""
per.005328,oscys.caseid.0528,""
per.005123,oscys.caseid.0528,""
per.004640,oscys.caseid.0528,""
per.005282,oscys.caseid.0528,""
per.005153,oscys.caseid.0528,""
per.005200,oscys.caseid.0528,""
per.005208,oscys.caseid.0528,""
per.005308,oscys.caseid.0528,""
per.005309,oscys.caseid.0528,""
per.005238,oscys.caseid.0528,""
per.005310,oscys.caseid.0528,""
per.005229,oscys.caseid.0528,""
per.005317,oscys.caseid.0528,""
per.005237,oscys.caseid.0528,""
per.005241,oscys.caseid.0528,""
per.005246,oscys.caseid.0528,""
per.005320,oscys.caseid.0528,""
per.005294,oscys.caseid.0528,""
per.005252,oscys.caseid.0528,""
per.005165,oscys.caseid.0528,""
per.005256,oscys.caseid.0528,""
per.005329,oscys.caseid.0528,""
per.002362,oscys.caseid.0315,plaintiff
per.002363,oscys.caseid.0315,plaintiff
per.002364,oscys.caseid.0315,plaintiff
per.002365,oscys.caseid.0315,plaintiff
per.002366,oscys.caseid.0315,plaintiff
per.002367,oscys.caseid.0315,plaintiff
per.002368,oscys.caseid.0315,plaintiff
per.002369,oscys.caseid.0315,defendant
per.002370,oscys.caseid.0315,defendant
per.001366,oscys.caseid.0315,attorney
per.000476,oscys.caseid.0315,""
per.001216,oscys.caseid.0315,""
per.000740,oscys.caseid.0315,""
per.002319,oscys.caseid.0305,plaintiff
per.002320,oscys.caseid.0305,defendant
per.000751,oscys.caseid.0305,attorney
per.001180,oscys.caseid.0305,attorney
per.000004,oscys.caseid.0305,""
per.000740,oscys.caseid.0305,""
per.000753,oscys.caseid.0305,""
per.002321,oscys.caseid.0305,attorney
per.000829,oscys.caseid.0305,attorney
per.002322,oscys.caseid.0305,""
per.001216,oscys.caseid.0305,""
per.000476,oscys.caseid.0305,""
per.001217,oscys.caseid.0305,""
per.004134,oscys.caseid.0305,""
per.004135,oscys.caseid.0305,""
per.004165,oscys.caseid.0305,""
per.004136,oscys.caseid.0305,""
per.003824,oscys.caseid.0305,""
per.004166,oscys.caseid.0305,""
per.004137,oscys.caseid.0305,""
per.004138,oscys.caseid.0305,""
per.004167,oscys.caseid.0305,""
per.004168,oscys.caseid.0305,""
per.004169,oscys.caseid.0305,""
per.004140,oscys.caseid.0305,""
per.004142,oscys.caseid.0305,""
per.003460,oscys.caseid.0305,""
per.000979,oscys.caseid.0305,""
per.004170,oscys.caseid.0305,""
per.000641,oscys.caseid.0079,plaintiff
per.000642,oscys.caseid.0079,defendant
per.000001,oscys.caseid.0079,attorney
per.000003,oscys.caseid.0079,""
per.000004,oscys.caseid.0079,""
per.000461,oscys.caseid.0079,""
per.001553,oscys.caseid.0079,""
per.002972,oscys.caseid.0079,""
per.002973,oscys.caseid.0079,""
per.002794,oscys.caseid.0079,""
per.002795,oscys.caseid.0079,""
per.000064,oscys.caseid.0079,""
per.000772,oscys.caseid.0104,plaintiff
